Carbon concentration / (weight%);Silicon concentration / (weight%);Manganese concentration / (weight%);Sulphur concentration / (weight%);Phosphorus concentration / (weight%);Nickel concentration / (weight%);Chromium concentration / (weight%);Molybdenum concentration / (weight%);Vanadium concentration / (weight%);Copper concentration / (weight%);Cobalt concentration / (weight%);Tungsten concentration / (weight%);Oxygen concentration / parts per million by weight;Titanium concentration / parts per million by weight;Nitrogen concentration / parts per million by weight;Aluminium concentration / parts per million by weight;Boron concentration / parts per million by weight;Niobium concentration / parts per million by weight;Tin concentration / parts per million by weight;Arsenic concentration / parts per million by weight;Antimony concentration / parts per million by weight;Current / A;Voltage / V;AC or DC;Electrode positive or negative;Heat input / kJ/mm;Interpass temperature / deg C;Type of weld ;Post weld heat treatment temperature / deg C;Post weld heat treatment time / hours;Yield strength / MPa;Ultimate tensile strength / MPa;Elongation / %;Reduction of Area / %;Charpy temperature / deg C;Charpy impact toughness / J;Hardness / kg/mm2;50 % FATT;Primary ferrite in microstructure / %;Ferrite with second phase / %;Acicular ferrite / %;Martensite / %;Ferrite with carbide aggreagate / %;Weld ID
0.078;0.44;1.31;0.005;0.008;None;None;None;None;None;None;None;431;36;50;340;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-88;28;None;None;None;None;None;None;None;Evans-AlTi-1994-40/340ch1
0.078;0.44;1.31;0.005;0.008;None;None;None;None;None;None;None;431;36;50;340;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-63;100;None;None;None;None;None;None;None;Evans-AlTi-1994-40/340ch2
0.078;0.44;1.31;0.005;0.008;None;None;None;None;None;None;None;431;36;50;340;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;21;7;72;0;0;Evans-AlTi-1994-40/340mic
0.076;0.51;1.3;0.005;0.008;None;None;None;None;None;None;None;423;43;48;490;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;485;560;25.2;78.9;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-40/490ht
0.076;0.51;1.3;0.005;0.008;None;None;None;None;None;None;None;423;43;48;490;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-90;28;None;None;None;None;None;None;None;Evans-AlTi-1994-40/490ch1
0.076;0.51;1.3;0.005;0.008;None;None;None;None;None;None;None;423;43;48;490;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-55;100;None;None;None;None;None;None;None;Evans-AlTi-1994-40/490ch2
0.076;0.51;1.3;0.005;0.008;None;None;None;None;None;None;None;423;43;48;490;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;21;17;62;0;0;Evans-AlTi-1994-40/490mic
0.079;0.57;1.32;0.004;0.008;None;None;None;None;None;None;None;422;38;52;610;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;491;570;29.2;77;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-40/610ht
0.079;0.57;1.32;0.004;0.008;None;None;None;None;None;None;None;422;38;52;610;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-74;28;None;None;None;None;None;None;None;Evans-AlTi-1994-40/610ch1
0.079;0.57;1.32;0.004;0.008;None;None;None;None;None;None;None;422;38;52;610;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-38;100;None;None;None;None;None;None;None;Evans-AlTi-1994-40/610ch2
0.079;0.57;1.32;0.004;0.008;None;None;None;None;None;None;None;422;38;52;610;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;24;26;50;0;0;Evans-AlTi-1994-40/610mic
0.074;0.32;1.5;0.006;0.006;None;None;None;None;None;None;None;375;99;89;8;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;484;547;29.4;79.8;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-80/8ht
0.074;0.32;1.5;0.006;0.006;None;None;None;None;None;None;None;375;99;89;8;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-74;28;None;None;None;None;None;None;None;Evans-AlTi-1994-80/8ht
0.074;0.32;1.5;0.006;0.006;None;None;None;None;None;None;None;375;99;89;8;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-52;100;None;None;None;None;None;None;None;Evans-AlTi-1994-80/8ht
0.074;0.27;1.41;0.007;0.006;None;None;None;None;None;None;None;407;88;70;47;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;442;514;32.2;81.6;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-80/47ht
0.074;0.27;1.41;0.007;0.006;None;None;None;None;None;None;None;407;88;70;47;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-57;28;None;None;None;None;None;None;None;Evans-AlTi-1994-80/47ht
0.074;0.27;1.41;0.007;0.006;None;None;None;None;None;None;None;407;88;70;47;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-31;100;None;None;None;None;None;None;None;Evans-AlTi-1994-80/47ht
0.071;0.39;1.36;0.005;0.009;None;None;None;None;None;None;None;381;92;52;160;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;481;545;30.6;81.4;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-80/160ht
0.071;0.39;1.36;0.005;0.009;None;None;None;None;None;None;None;381;92;52;160;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-68;28;None;None;None;None;None;None;None;Evans-AlTi-1994-80/160ht
0.071;0.39;1.36;0.005;0.009;None;None;None;None;None;None;None;381;92;52;160;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-56;100;None;None;None;None;None;None;None;Evans-AlTi-1994-80/160ht
0.069;0.45;1.36;0.005;0.008;None;None;None;None;None;None;None;374;63;44;280;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;474;540;28;80.7;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-80/280ht
0.069;0.45;1.36;0.005;0.008;None;None;None;None;None;None;None;374;63;44;280;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-68;28;None;None;None;None;None;None;None;Evans-AlTi-1994-80/280ht
0.069;0.45;1.36;0.005;0.008;None;None;None;None;None;None;None;374;63;44;280;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-61;100;None;None;None;None;None;None;None;Evans-AlTi-1994-80/280ht
0.069;0.51;1.39;0.004;0.008;None;None;None;None;None;None;None;379;69;41;480;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;466;533;27.2;77;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-80/480ht
0.069;0.51;1.39;0.004;0.008;None;None;None;None;None;None;None;379;69;41;480;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-70;28;None;None;None;None;None;None;None;Evans-AlTi-1994-80/480ht
0.069;0.51;1.39;0.004;0.008;None;None;None;None;None;None;None;379;69;41;480;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-54;100;None;None;None;None;None;None;None;Evans-AlTi-1994-80/480ht
0.072;0.57;1.4;0.004;0.008;None;None;None;None;None;None;None;360;80;38;640;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;486;555;26.6;78;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-80/640ht
0.072;0.57;1.4;0.004;0.008;None;None;None;None;None;None;None;360;80;38;640;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-68;28;None;None;None;None;None;None;None;Evans-AlTi-1994-80/640ht
0.072;0.57;1.4;0.004;0.008;None;None;None;None;None;None;None;360;80;38;640;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-41;100;None;None;None;None;None;None;None;Evans-AlTi-1994-80/640ht
0.081;0.34;1.54;0.007;0.008;None;None;None;None;None;None;None;312;180;80;3;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;502;555;26.6;78.9;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-220/3
0.081;0.34;1.54;0.007;0.008;None;None;None;None;None;None;None;312;180;80;3;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-67;28;None;None;None;None;None;None;None;Evans-AlTi-1994-220/3ch1
0.081;0.34;1.54;0.007;0.008;None;None;None;None;None;None;None;312;180;80;3;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-52;100;None;None;None;None;None;None;None;Evans-AlTi-1994-220/3ch2
0.081;0.34;1.54;0.007;0.008;None;None;None;None;None;None;None;312;180;80;3;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;19;20;61;0;0;Evans-AlTi-1994-220/3mic
0.072;0.24;1.32;0.006;0.008;None;None;None;None;None;None;None;397;180;68;47;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;452;535;30.7;78.9;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-220/47
0.072;0.24;1.32;0.006;0.008;None;None;None;None;None;None;None;397;180;68;47;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-54;28;None;None;None;None;None;None;None;Evans-AlTi-1994-220/47ch1
0.072;0.24;1.32;0.006;0.008;None;None;None;None;None;None;None;397;180;68;47;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-35;100;None;None;None;None;None;None;None;Evans-AlTi-1994-220/47ch2
0.072;0.24;1.32;0.006;0.008;None;None;None;None;None;None;None;397;180;68;47;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;23;24;53;0;0;Evans-AlTi-1994-220/47mic
0.072;0.34;1.33;0.006;0.008;None;None;None;None;None;None;None;427;190;57;150;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;467;522;29.2;77;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-220/150
0.072;0.34;1.33;0.006;0.008;None;None;None;None;None;None;None;427;190;57;150;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-64;28;None;None;None;None;None;None;None;Evans-AlTi-1994-220/150ch1
0.072;0.34;1.33;0.006;0.008;None;None;None;None;None;None;None;427;190;57;150;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-52;100;None;None;None;None;None;None;None;Evans-AlTi-1994-220/150ch2
0.072;0.34;1.33;0.006;0.008;None;None;None;None;None;None;None;427;190;57;150;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;18;15;67;0;0;Evans-AlTi-1994-220/150mic
0.074;0.41;1.36;0.005;0.005;None;None;None;None;None;None;None;418;260;49;320;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;514;570;23.6;77;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-220/320
0.074;0.41;1.36;0.005;0.005;None;None;None;None;None;None;None;418;260;49;320;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-63;28;None;None;None;None;None;None;None;Evans-AlTi-1994-220/320ch1
0.074;0.41;1.36;0.005;0.005;None;None;None;None;None;None;None;418;260;49;320;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-47;100;None;None;None;None;None;None;None;Evans-AlTi-1994-220/320ch2
0.074;0.41;1.36;0.005;0.005;None;None;None;None;None;None;None;418;260;49;320;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;23;9;68;0;0;Evans-AlTi-1994-220/320ch2
0.066;0.46;1.41;0.004;0.009;None;None;None;None;None;None;None;407;240;49;440;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;522;580;24;76;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-220/440
0.066;0.46;1.41;0.004;0.009;None;None;None;None;None;None;None;407;240;49;440;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-68;28;None;None;None;None;None;None;None;Evans-AlTi-1994-220/440ch1
0.066;0.46;1.41;0.004;0.009;None;None;None;None;None;None;None;407;240;49;440;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-42;100;None;None;None;None;None;None;None;Evans-AlTi-1994-220/440ch2
0.066;0.46;1.41;0.004;0.009;None;None;None;None;None;None;None;407;240;49;440;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;19;12;69;0;0;Evans-AlTi-1994-220/440ch2
0.066;0.44;1.33;0.004;0.008;None;None;None;None;None;None;None;454;240;49;680;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;522;591;23.8;71.9;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-220/680
0.066;0.44;1.33;0.004;0.008;None;None;None;None;None;None;None;454;240;49;680;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-76;28;None;None;None;None;None;None;None;Evans-AlTi-1994-220/680ch1
0.066;0.44;1.33;0.004;0.008;None;None;None;None;None;None;None;454;240;49;680;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-42;100;None;None;None;None;None;None;None;Evans-AlTi-1994-220/680ch2
0.066;0.44;1.33;0.004;0.008;None;None;None;None;None;None;None;454;240;49;680;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;18;18;64;0;0;Evans-AlTi-1994-220/680mic
0.069;0.43;1.49;0.004;0.005;None;None;None;None;None;None;None;294;460;77;1;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;535;594;26;79.8;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-450/1
0.069;0.43;1.49;0.004;0.005;None;None;None;None;None;None;None;294;460;77;1;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-78;28;None;None;None;None;None;None;None;Evans-AlTi-1994-450/1ch1
0.069;0.43;1.49;0.004;0.005;None;None;None;None;None;None;None;294;460;77;1;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-60;100;None;None;None;None;None;None;None;Evans-AlTi-1994-450/1ch2
0.069;0.43;1.49;0.004;0.005;None;None;None;None;None;None;None;294;460;77;1;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;15;10;75;0;0;Evans-AlTi-1994-450/1mic
0.071;0.36;1.44;0.007;0.005;None;None;None;None;None;None;None;373;460;94;67;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;522;583;22;78.9;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-450/67
0.071;0.36;1.44;0.007;0.005;None;None;None;None;None;None;None;373;460;94;67;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-69;28;None;None;None;None;None;None;None;Evans-AlTi-1994-450/67ch1
0.071;0.36;1.44;0.007;0.005;None;None;None;None;None;None;None;373;460;94;67;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-48;100;None;None;None;None;None;None;None;Evans-AlTi-1994-450/67ch2
0.071;0.36;1.44;0.007;0.005;None;None;None;None;None;None;None;373;460;94;67;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;13;9;78;0;0;Evans-AlTi-1994-450/67mic
0.071;0.42;1.39;0.007;0.005;None;None;None;None;None;None;None;446;420;65;150;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;531;587;25.2;78;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-450/150
0.071;0.42;1.39;0.007;0.005;None;None;None;None;None;None;None;446;420;65;150;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-74;28;None;None;None;None;None;None;None;Evans-AlTi-1994-450/150ch1
0.071;0.42;1.39;0.007;0.005;None;None;None;None;None;None;None;446;420;65;150;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-56;100;None;None;None;None;None;None;None;Evans-AlTi-1994-450/150ch2
0.071;0.42;1.39;0.007;0.005;None;None;None;None;None;None;None;446;420;65;150;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;15;9;76;0;0;Evans-AlTi-1994-450/150mic
0.071;0.52;1.44;0.005;0.005;None;None;None;None;None;None;None;466;460;67;300;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;538;604;23.2;77;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-450/300
0.071;0.52;1.44;0.005;0.005;None;None;None;None;None;None;None;466;460;67;300;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-65;28;None;None;None;None;None;None;None;Evans-AlTi-1994-450/300ch1
0.071;0.52;1.44;0.005;0.005;None;None;None;None;None;None;None;466;460;67;300;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-49;100;None;None;None;None;None;None;None;Evans-AlTi-1994-450/300ch2
0.071;0.52;1.44;0.005;0.005;None;None;None;None;None;None;None;466;460;67;300;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;15;26;59;0;0;Evans-AlTi-1994-450/300mic
0.069;0.54;1.41;0.005;0.005;None;None;None;None;None;None;None;439;460;58;420;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;561;622;26;77;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-450/420
0.069;0.54;1.41;0.005;0.005;None;None;None;None;None;None;None;439;460;58;420;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-63;28;None;None;None;None;None;None;None;Evans-AlTi-1994-450/420ch1
0.069;0.54;1.41;0.005;0.005;None;None;None;None;None;None;None;439;460;58;420;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-43;100;None;None;None;None;None;None;None;Evans-AlTi-1994-450/420ch2
0.069;0.54;1.41;0.005;0.005;None;None;None;None;None;None;None;439;460;58;420;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;15;7;78;0;0;Evans-AlTi-1994-450/420mic
0.067;0.57;1.4;0.005;0.005;None;None;None;None;None;None;None;451;450;60;500;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;547;616;22.6;75;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-450/500
0.067;0.57;1.4;0.005;0.005;None;None;None;None;None;None;None;451;450;60;500;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-76;28;None;None;None;None;None;None;None;Evans-AlTi-1994-450/500ch1
0.067;0.57;1.4;0.005;0.005;None;None;None;None;None;None;None;451;450;60;500;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-44;100;None;None;None;None;None;None;None;Evans-AlTi-1994-450/500ch2
0.067;0.57;1.4;0.005;0.005;None;None;None;None;None;None;None;451;450;60;500;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;13;5;82;0;0;Evans-AlTi-1994-450/500mic
0.09;0.18;0.98;0.008;0.012;None;8.9;1;0.22;None;None;None;642;None;460;None;3;520;None;None;None;180;34;DC;+;1;175;MMA;750;8;542;697;18.8;65.3;None;None;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM57
0.09;0.18;0.98;0.008;0.012;None;8.9;1;0.22;None;None;None;642;None;460;None;3;520;None;None;None;180;34;DC;+;1;175;MMA;750;8;None;None;None;None;-24;28;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM57
0.09;0.18;0.98;0.008;0.012;None;8.9;1;0.22;None;None;None;642;None;460;None;3;520;None;None;None;180;34;DC;+;1;175;MMA;750;8;None;None;None;None;-13;50;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM57
0.09;0.18;0.98;0.008;0.012;None;8.9;1;0.22;None;None;None;642;None;460;None;3;520;None;None;None;180;34;DC;+;1;175;MMA;750;8;None;None;None;None;12;100;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM57
0.088;0.17;1.03;0.007;0.013;None;9.1;1.01;0.23;None;None;None;604;None;460;None;17;530;None;None;None;180;34;DC;+;1;175;MMA;750;8;574;723;17.1;59.1;None;None;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM58
0.088;0.17;1.03;0.007;0.013;None;9.1;1.01;0.23;None;None;None;604;None;460;None;17;530;None;None;None;180;34;DC;+;1;175;MMA;750;8;None;None;None;None;-30;28;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM58
0.088;0.17;1.03;0.007;0.013;None;9.1;1.01;0.23;None;None;None;604;None;460;None;17;530;None;None;None;180;34;DC;+;1;175;MMA;750;8;None;None;None;None;-17;50;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM58
0.088;0.17;1.03;0.007;0.013;None;9.1;1.01;0.23;None;None;None;604;None;460;None;17;530;None;None;None;180;34;DC;+;1;175;MMA;750;8;None;None;None;None;12;100;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM58
0.091;0.2;1.04;0.007;0.013;None;9.02;1.01;0.24;None;None;None;591;None;480;None;32;620;None;None;None;180;34;DC;+;1;175;MMA;750;8;642;778;16.8;59.8;None;None;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM59
0.091;0.2;1.04;0.007;0.013;None;9.02;1.01;0.24;None;None;None;591;None;480;None;32;620;None;None;None;180;34;DC;+;1;175;MMA;750;8;None;None;None;None;-13;28;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM59
0.091;0.2;1.04;0.007;0.013;None;9.02;1.01;0.24;None;None;None;591;None;480;None;32;620;None;None;None;180;34;DC;+;1;175;MMA;750;8;None;None;None;None;10;50;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM59
0.091;0.2;1.04;0.007;0.013;None;9.02;1.01;0.24;None;None;None;591;None;480;None;32;620;None;None;None;180;34;DC;+;1;175;MMA;750;8;None;None;None;None;53;100;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM59
0.089;0.22;1.05;0.007;0.013;None;9;1.04;0.23;None;None;None;592;None;460;None;64;700;None;None;None;180;34;DC;+;1;175;MMA;750;8;643;777;15.7;60.2;None;None;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM60
0.089;0.22;1.05;0.007;0.013;None;9;1.04;0.23;None;None;None;592;None;460;None;64;700;None;None;None;180;34;DC;+;1;175;MMA;750;8;None;None;None;None;0;28;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM60
0.089;0.22;1.05;0.007;0.013;None;9;1.04;0.23;None;None;None;592;None;460;None;64;700;None;None;None;180;34;DC;+;1;175;MMA;750;8;None;None;None;None;21;50;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM60
0.089;0.22;1.05;0.007;0.013;None;9;1.04;0.23;None;None;None;592;None;460;None;64;700;None;None;None;180;34;DC;+;1;175;MMA;750;8;None;None;None;None;59;100;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM60
0.094;0.17;1;0.008;0.012;None;8.99;1.03;0.21;None;None;None;636;None;160;None;3;520;None;None;None;180;34;DC;+;1;175;MMA;750;8;558;705;20.8;64.5;None;None;None;None;None;None;None;None;None;Evans-B/9Cr1Mo-1994-CM61
